epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4836,0.65612,1.0947,0.49496,1.10229,0,0.96675,0.94471,0.98288,0.85614,0.96721,0.95834,0.99192,0.85235,0.43856,0.50275,0.30653,0.95594,0,0.000363475,0.000363475,0.000363475
2,119.487,0.54957,0.77589,0.40613,0.9698,0,0.93621,0.95363,0.98136,0.84998,0.95722,0.96924,0.99056,0.84842,0.45148,0.52174,0.33372,0.95378,0,0.000721701,0.000721701,0.000721701
3,158.805,0.50708,0.6941,0.38004,0.93463,0,0.9673,0.98556,0.99217,0.87537,0.97175,0.99339,0.99302,0.86429,0.46376,0.48764,0.32833,0.96618,0,0.00106771,0.00106771,0.00106771
4,200.581,0.53417,0.72633,0.3986,0.95023,0,0.9686,0.98556,0.99298,0.90062,0.9686,0.98556,0.99298,0.88141,0.41689,0.43908,0.32694,0.91395,0,0.00105601,0.00105601,0.00105601
5,237.018,0.49302,0.64844,0.36682,0.92018,0,0.97658,0.97112,0.9902,0.90317,0.98384,0.97834,0.99338,0.88949,0.39522,0.45135,0.29003,0.89792,0,0.00103767,0.00103767,0.00103767
6,279.221,0.47477,0.62336,0.35863,0.91415,0,0.97317,0.98556,0.99227,0.90613,0.97673,0.98917,0.99342,0.89816,0.40016,0.41477,0.28,0.90447,0,0.00101934,0.00101934,0.00101934
7,315.099,0.46803,0.57894,0.34956,0.91291,0,0.96167,0.98556,0.99348,0.90915,0.96871,0.99278,0.99442,0.9005,0.3913,0.39322,0.28339,0.89503,0,0.00100101,0.00100101,0.00100101
8,354.611,0.47613,0.61603,0.35858,0.9108,0,0.97854,0.98759,0.99269,0.9037,0.98211,0.9912,0.99412,0.90405,0.40725,0.38989,0.29054,0.91621,0,0.000982679,0.000982679,0.000982679
9,390.591,0.46075,0.56958,0.34706,0.89932,0,0.99258,0.96545,0.99314,0.91637,0.99628,0.96801,0.99389,0.90598,0.3875,0.36632,0.26783,0.89498,0,0.000964348,0.000964348,0.000964348
10,426.709,0.46213,0.58098,0.35345,0.90879,0,0.98081,0.96751,0.99257,0.91215,0.9871,0.97473,0.99322,0.9086,0.39324,0.35867,0.28327,0.90484,0,0.000946016,0.000946016,0.000946016
