epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
31,193.472,0.31455,0.31649,0.26728,0.77481,0,0.99756,1,0.995,0.96175,0.99756,1,0.995,0.87477,0.30357,0.37482,0.24743,0.7813,0,0.000367967,0.000367967,0.000367967
32,199.517,0.31859,0.32721,0.25609,0.76504,0,0.99824,1,0.995,0.96593,0.99824,1,0.995,0.87773,0.28949,0.36875,0.22285,0.77899,0,0.0003326,0.0003326,0.0003326
33,205.26,0.31316,0.30511,0.25715,0.78024,0,0.99817,1,0.995,0.97064,0.99817,1,0.995,0.87598,0.27953,0.37409,0.21671,0.77895,0,0.000297232,0.000297232,0.000297232
34,211.329,0.31909,0.29836,0.249,0.7715,0,0.99809,1,0.995,0.97337,0.99809,1,0.995,0.91047,0.28796,0.3476,0.21741,0.77937,0,0.000261864,0.000261864,0.000261864
35,217.171,0.30846,0.32384,0.24025,0.78774,0,0.99819,1,0.995,0.98313,0.99819,1,0.995,0.88235,0.28955,0.35707,0.21999,0.78008,0,0.000226497,0.000226497,0.000226497
36,222.989,0.30157,0.31346,0.24544,0.78629,0,0.99822,1,0.995,0.97982,0.99822,1,0.995,0.87684,0.28252,0.36373,0.21368,0.77912,0,0.000191129,0.000191129,0.000191129
37,228.671,0.29622,0.30989,0.23614,0.76556,0,0.99818,1,0.995,0.98004,0.99818,1,0.995,0.87791,0.27104,0.36358,0.21066,0.77798,0,0.000155761,0.000155761,0.000155761
38,234.512,0.27826,0.31382,0.2256,0.76294,0,0.99817,1,0.995,0.97733,0.99817,1,0.995,0.87519,0.27175,0.36982,0.21315,0.77784,0,0.000120393,0.000120393,0.000120393
39,240.376,0.29042,0.31011,0.2274,0.78193,0,0.99815,1,0.995,0.98254,0.99815,1,0.995,0.87198,0.26698,0.35221,0.21016,0.77842,0,8.50255e-05,8.50255e-05,8.50255e-05
40,246.288,0.27689,0.32037,0.22247,0.77185,0,0.99816,1,0.995,0.98675,0.99816,1,0.995,0.87455,0.26416,0.34567,0.20905,0.77777,0,4.96578e-05,4.96578e-05,4.96578e-05
