epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4179,0.96509,1.46273,3.50253,0.90157,0,0.00252,0.28571,0.1453,0.10299,0.00558,0.63187,0.21816,0.14585,0.70859,0.85299,3.8294,0.81531,0,0.000467673,0.000467673,0.000467673
2,73.0058,0.85592,1.16501,1.93915,0.87268,0,1,0.44967,0.9372,0.67383,1,0.44967,0.93659,0.62731,0.7964,0.96078,2.5768,0.83402,0,0.00093466,0.00093466,0.00093466
3,108.42,0.83318,1.13386,1.57981,0.8714,0,0.94013,0.86287,0.97096,0.76837,0.94587,0.86813,0.96618,0.67766,0.68826,1.00445,1.2352,0.81797,0,0.00139222,0.00139222,0.00139222
4,143.876,0.84439,1.10061,1.30589,0.8681,0,0.94524,0.96154,0.98648,0.78009,0.9471,0.95604,0.98729,0.70772,0.69391,0.72899,0.64011,0.81359,0,0.00138656,0.00138656,0.00138656
5,179.232,0.79364,1.05959,1.05141,0.85689,0,0.94095,0.96314,0.98695,0.79495,0.956,0.93407,0.97306,0.70525,0.63899,0.73306,0.54124,0.81061,0,0.00137241,0.00137241,0.00137241
6,214.595,0.76013,0.97284,0.90047,0.84516,0,0.96549,0.92234,0.97875,0.81872,0.96634,0.94633,0.98758,0.71004,0.57182,0.74843,0.50612,0.7973,0,0.00135826,0.00135826,0.00135826
7,249.83,0.72691,0.93968,0.78345,0.84595,0,0.96186,0.96999,0.99205,0.82758,0.94382,0.97802,0.99155,0.72096,0.61756,0.69893,0.49481,0.80397,0,0.00134412,0.00134412,0.00134412
8,285.052,0.73193,0.95148,0.71283,0.84658,0,0.95978,0.96703,0.98528,0.82301,0.96704,0.96713,0.9876,0.72849,0.56484,0.64808,0.46818,0.7917,0,0.00132997,0.00132997,0.00132997
9,321.307,0.72178,0.92643,0.64861,0.84022,0,0.9616,0.96315,0.99218,0.84155,0.97877,0.94505,0.99173,0.74185,0.53369,0.67101,0.45404,0.78687,0,0.00131582,0.00131582,0.00131582
10,357.358,0.72153,0.92155,0.60514,0.83906,0,0.94581,0.95894,0.98751,0.83678,0.93116,0.9662,0.98089,0.72585,0.55155,0.66042,0.4682,0.79324,0,0.00130168,0.00130168,0.00130168
