epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,121.066,0.31141,0.33892,0.24923,0.81841,0,0.99134,1,0.9949,0.98185,0.99134,1,0.9949,0.96852,0.2198,0.25113,0.20081,0.77925,0,0.000364161,0.000364161,0.000364161
2,214.508,0.32714,0.32524,0.26439,0.82076,0,0.99937,1,0.995,0.97558,0.99937,1,0.995,0.96093,0.25218,0.24602,0.22049,0.79526,0,0.000727223,0.000727223,0.000727223
3,320.469,0.36183,0.3804,0.29867,0.83179,0,0.99273,1,0.995,0.96903,0.99273,1,0.995,0.94451,0.26047,0.27353,0.25749,0.79073,0,0.00108295,0.00108295,0.00108295
4,393.032,0.33522,0.35873,0.28646,0.81823,0,0.99616,0.99653,0.99497,0.97221,0.99616,0.99653,0.99497,0.94932,0.24846,0.25243,0.23251,0.78705,0,0.001078,0.001078,0.001078
5,476.115,0.34511,0.34834,0.28944,0.82386,0,0.9984,0.99653,0.995,0.97112,0.9984,0.99653,0.995,0.94717,0.26418,0.26441,0.25232,0.78878,0,0.001067,0.001067,0.001067
6,566.571,0.3357,0.32748,0.27723,0.81746,0,0.99653,0.99859,0.99479,0.96287,0.99653,0.99859,0.99479,0.96147,0.26289,0.23255,0.22658,0.79376,0,0.00105601,0.00105601,0.00105601
7,650.1,0.33986,0.32769,0.28171,0.82582,0,0.98862,1,0.99486,0.96072,0.98943,1,0.99493,0.9533,0.27611,0.24057,0.23599,0.80142,0,0.00104501,0.00104501,0.00104501
8,786.11,0.32489,0.31393,0.26929,0.8151,0,0.99906,1,0.995,0.97362,0.99906,1,0.995,0.96358,0.25278,0.22686,0.21256,0.79171,0,0.00103401,0.00103401,0.00103401
9,915.223,0.33081,0.31096,0.27163,0.81485,0,0.99427,1,0.99497,0.96956,0.99478,1,0.995,0.95812,0.27159,0.22843,0.22473,0.78858,0,0.00102301,0.00102301,0.00102301
10,996.791,0.33494,0.3197,0.27605,0.8166,0,0.99934,1,0.995,0.97715,0.99934,1,0.995,0.96994,0.23445,0.21636,0.20519,0.77693,0,0.00101201,0.00101201,0.00101201
11,1091.37,0.30928,0.29801,0.25579,0.80996,0,0.9991,1,0.995,0.9769,0.9991,1,0.995,0.9673,0.23044,0.21296,0.1996,0.78376,0,0.00100101,0.00100101,0.00100101
12,1181.45,0.31141,0.29476,0.25538,0.81109,0,0.99974,1,0.995,0.97672,0.99974,1,0.995,0.97052,0.23473,0.21568,0.19984,0.78367,0,0.000990012,0.000990012,0.000990012
13,1273.61,0.31275,0.28529,0.25541,0.80919,0,0.99958,1,0.995,0.98593,0.99958,1,0.995,0.96685,0.23392,0.21437,0.19463,0.78282,0,0.000979013,0.000979013,0.000979013
14,1360.47,0.30472,0.27829,0.25373,0.812,0,0.99703,1,0.995,0.98663,0.99703,1,0.995,0.97339,0.223,0.21427,0.19603,0.77867,0,0.000968014,0.000968014,0.000968014
15,1427.54,0.30062,0.28007,0.24989,0.80951,0,0.99926,1,0.995,0.98727,0.99926,1,0.995,0.9724,0.22388,0.21217,0.18971,0.78329,0,0.000957015,0.000957015,0.000957015
16,1508.49,0.29929,0.2828,0.25343,0.80664,0,0.99553,1,0.9949,0.97774,0.99553,1,0.9949,0.96523,0.21992,0.20288,0.23037,0.77772,0,0.000946016,0.000946016,0.000946016
17,1581.5,0.29542,0.2833,0.25015,0.80838,0,0.99232,1,0.995,0.98095,0.99232,1,0.995,0.96973,0.22122,0.23482,0.19582,0.77796,0,0.000935018,0.000935018,0.000935018
18,1662.45,0.29931,0.2773,0.25179,0.80387,0,0.99639,1,0.995,0.98536,0.99639,1,0.995,0.9755,0.22597,0.22045,0.19062,0.7786,0,0.000924019,0.000924019,0.000924019
19,1743.97,0.29058,0.28061,0.24817,0.80456,0,0.99094,0.99653,0.99341,0.97898,0.99094,0.99653,0.99341,0.96375,0.23056,0.2173,0.19479,0.79279,0,0.00091302,0.00091302,0.00091302
20,1825.55,0.29695,0.29411,0.24714,0.80596,0,0.99682,0.99653,0.995,0.97848,0.99682,0.99653,0.995,0.96779,0.22556,0.20341,0.19345,0.78442,0,0.000902021,0.000902021,0.000902021
21,1909.91,0.29348,0.27237,0.24508,0.80577,0,0.99241,1,0.99361,0.97975,0.99241,1,0.99361,0.97192,0.23011,0.21491,0.19806,0.78625,0,0.000891022,0.000891022,0.000891022
22,1994.53,0.28831,0.27253,0.24443,0.80491,0,0.99855,1,0.995,0.98313,0.99855,1,0.995,0.96772,0.2088,0.20268,0.1849,0.77703,0,0.000880023,0.000880023,0.000880023
23,2102.45,0.29958,0.27731,0.2496,0.80977,0,0.99956,1,0.995,0.98755,0.99956,1,0.995,0.97087,0.19783,0.21341,0.18164,0.7749,0,0.000869024,0.000869024,0.000869024
24,2189.14,0.28595,0.26284,0.24412,0.80127,0,0.99577,1,0.995,0.98666,0.99577,1,0.995,0.96977,0.20562,0.2013,0.18179,0.77956,0,0.000858025,0.000858025,0.000858025
25,2264.11,0.27784,0.27829,0.23532,0.79984,0,0.99969,1,0.995,0.98846,0.99969,1,0.995,0.97491,0.20486,0.19481,0.17368,0.77781,0,0.000847026,0.000847026,0.000847026
26,2349.58,0.28628,0.27767,0.23683,0.80402,0,0.99721,1,0.995,0.98704,0.99721,1,0.995,0.97674,0.21379,0.19943,0.17656,0.77475,0,0.000836027,0.000836027,0.000836027
27,2438.34,0.27865,0.26194,0.23332,0.7998,0,0.99778,1,0.995,0.98781,0.99778,1,0.995,0.97625,0.18907,0.19849,0.16601,0.77087,0,0.000825029,0.000825029,0.000825029
28,2528.86,0.27981,0.26894,0.23524,0.79828,0,0.99949,1,0.995,0.98884,0.99949,1,0.995,0.97657,0.19323,0.19374,0.16792,0.77123,0,0.00081403,0.00081403,0.00081403
29,2613.67,0.2708,0.25353,0.23109,0.79977,0,0.99916,1,0.995,0.98751,0.99916,1,0.995,0.97369,0.2017,0.19654,0.17241,0.77261,0,0.000803031,0.000803031,0.000803031
30,2694.31,0.26612,0.26354,0.22733,0.79551,0,0.99539,1,0.99438,0.98518,0.99539,1,0.99438,0.9744,0.20308,0.19373,0.17624,0.77952,0,0.000792032,0.000792032,0.000792032
31,2832.75,0.26487,0.24908,0.22422,0.8039,0,0.99545,1,0.995,0.9857,0.99545,1,0.995,0.97587,0.19971,0.18531,0.17077,0.77564,0,0.000781033,0.000781033,0.000781033
32,2924.97,0.27201,0.27582,0.2291,0.79805,0,0.99977,1,0.995,0.98726,0.99977,1,0.995,0.97641,0.19535,0.18998,0.16678,0.76747,0,0.000770034,0.000770034,0.000770034
