epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,287.007,1.14948,0.08351,0.06696,0.65576,1.23941,0.93008,1,0.99262,0.64061,0.93008,1,0.99262,0.99262,1.10378,0.06695,0.00476,0.6189,1.14209,0.0008912,0.0008912,0.0008912
30,297.053,1.17523,0.10525,0.07313,0.65787,1.22013,0.93951,1,0.995,0.64869,0.93951,1,0.995,0.995,1.13257,0.06352,0.00377,0.59463,1.16555,0.0008516,0.0008516,0.0008516
31,307.72,1.0982,0.08463,0.05139,0.61785,1.19196,0.95021,1,0.995,0.711,0.95021,1,0.995,0.995,0.96957,0.05394,0.00332,0.52551,1.09593,0.000812,0.000812,0.000812
32,318.018,1.08733,0.07724,0.06544,0.62564,1.18224,0.99663,1,0.995,0.69471,0.99663,1,0.995,0.995,1.14189,0.0592,0.00444,0.54272,1.14294,0.0007724,0.0007724,0.0007724
33,328.233,1.06402,0.08014,0.06545,0.60667,1.15856,0.99432,1,0.995,0.68181,0.99432,1,0.995,0.995,1.12648,0.06815,0.00659,0.56316,1.1314,0.0007328,0.0007328,0.0007328
34,338.106,1.06218,0.06975,0.03409,0.6121,1.15576,0.99544,1,0.995,0.72525,0.99544,1,0.995,0.995,1.09234,0.08464,0.0052,0.52907,1.09908,0.0006932,0.0006932,0.0006932
35,347.845,1.11277,0.07236,0.05746,0.64168,1.1798,0.99391,1,0.995,0.73611,0.99391,1,0.995,0.995,1.1048,0.06219,0.00284,0.50004,1.10441,0.0006536,0.0006536,0.0006536
36,357.459,1.03004,0.06844,0.05898,0.56909,1.10693,0.99557,1,0.995,0.7207,0.99557,1,0.995,0.995,1.10341,0.05949,0.00223,0.51073,1.11215,0.000614,0.000614,0.000614
37,367.096,0.99801,0.07905,0.06412,0.56824,1.10795,0.99675,1,0.995,0.70812,0.99675,1,0.995,0.995,1.11499,0.06191,0.00317,0.56972,1.11534,0.0005744,0.0005744,0.0005744
38,376.689,0.98486,0.07174,0.05321,0.57864,1.09923,0.99653,1,0.995,0.70251,0.99653,1,0.995,0.995,1.2003,0.06024,0.00259,0.56161,1.17572,0.0005348,0.0005348,0.0005348
39,386.275,0.97872,0.05654,0.06531,0.56731,1.08944,0.99659,1,0.995,0.70806,0.99659,1,0.995,0.995,1.10579,0.06687,0.002,0.53746,1.13824,0.0004952,0.0004952,0.0004952
40,395.879,0.95907,0.06533,0.05202,0.53879,1.0926,0.99668,1,0.995,0.71748,0.99668,1,0.995,0.995,1.15999,0.06487,0.00235,0.547,1.1503,0.0004556,0.0004556,0.0004556
41,405.286,0.89946,0.05909,0.00204,0.48943,1.0943,0.97803,1,0.995,0.71132,0.97803,1,0.995,0.995,1.0716,0.06209,0.00333,0.55946,1.09737,0.000416,0.000416,0.000416
42,414.497,0.88993,0.056,0.00224,0.46457,1.07757,0.99507,1,0.995,0.68705,0.99507,1,0.995,0.995,1.1524,0.07426,0.00367,0.54094,1.11309,0.0003764,0.0003764,0.0003764
43,423.492,0.87156,0.05577,0.0041,0.46563,1.08393,0.99688,1,0.995,0.70139,0.99688,1,0.995,0.995,1.19596,0.07248,0.00357,0.48534,1.14293,0.0003368,0.0003368,0.0003368
44,432.566,0.89266,0.05483,0.0041,0.46189,1.07367,0.99677,1,0.995,0.70174,0.99677,1,0.995,0.995,1.17528,0.06803,0.00225,0.49213,1.15582,0.0002972,0.0002972,0.0002972
45,441.775,0.82578,0.05275,0.00329,0.44251,1.0283,0.99648,1,0.995,0.73189,0.99648,1,0.995,0.995,1.05968,0.06436,0.00216,0.43654,1.08435,0.0002576,0.0002576,0.0002576
46,450.723,0.87869,0.05231,0.0025,0.44771,1.03267,0.99587,1,0.995,0.74493,0.99587,1,0.995,0.995,1.06878,0.06629,0.0019,0.45186,1.08741,0.000218,0.000218,0.000218
47,459.993,0.79901,0.04899,0.00247,0.42871,1.02072,0.9969,1,0.995,0.69738,0.9969,1,0.995,0.995,1.06048,0.06546,0.00184,0.47688,1.09165,0.0001784,0.0001784,0.0001784
48,469.221,0.77442,0.04842,0.0019,0.41133,1.00401,0.99661,1,0.995,0.72678,0.99661,1,0.995,0.995,1.00777,0.06161,0.00173,0.46508,1.06793,0.0001388,0.0001388,0.0001388
49,478.254,0.77667,0.04636,0.00211,0.41152,1.00548,0.99702,1,0.995,0.71927,0.99702,1,0.995,0.995,1.03878,0.06118,0.00161,0.52449,1.07429,9.92e-05,9.92e-05,9.92e-05
50,487.324,0.77743,0.04577,0.00218,0.42583,1.01354,0.99708,1,0.995,0.6882,0.99708,1,0.995,0.995,1.1023,0.06203,0.00155,0.53471,1.10414,5.96e-05,5.96e-05,5.96e-05
