epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,528.341,1.15664,0.08949,0.12476,0.68112,1.38253,0.9967,1,0.995,0.59501,0.9967,1,0.995,0.995,1.36218,0.06259,0.00142,0.60346,1.80871,0.001076,0.001076,0.001076
30,547.85,1.24503,0.08805,0.10247,0.66956,1.37941,0.99673,1,0.995,0.68107,0.99673,1,0.995,0.995,1.16577,0.05904,0.00112,0.49687,1.60387,0.001043,0.001043,0.001043
31,564.235,1.14921,0.08118,0.1122,0.61556,1.35503,0.99678,1,0.995,0.69652,0.99678,1,0.995,0.995,1.12825,0.05482,0.00673,0.47997,1.57033,0.00101,0.00101,0.00101
32,580.308,1.16956,0.07436,0.08888,0.64955,1.36397,0.99689,1,0.995,0.69366,0.99689,1,0.995,0.995,1.11541,0.05725,0.00211,0.46559,1.58023,0.000977,0.000977,0.000977
33,640.639,1.1603,0.09952,0.14393,0.6423,1.36215,0.99699,1,0.995,0.70428,0.99699,1,0.995,0.995,1.16077,0.06286,0.00149,0.50753,1.59222,0.000944,0.000944,0.000944
34,662.116,1.19719,0.07829,0.13431,0.67138,1.39303,0.99579,1,0.995,0.50248,0.99579,1,0.995,0.995,1.57728,0.0709,0.00603,0.63952,2.05936,0.000911,0.000911,0.000911
35,762.392,1.17064,0.09933,0.16622,0.65087,1.3724,0.99642,1,0.995,0.67134,0.99642,1,0.995,0.995,1.18015,0.05985,0.01512,0.49434,1.57959,0.000878,0.000878,0.000878
36,776.352,1.13652,0.07111,0.09361,0.65839,1.34682,0.99468,1,0.995,0.67884,0.99468,1,0.995,0.995,1.24504,0.07034,0.00451,0.53524,1.68112,0.000845,0.000845,0.000845
37,789.889,1.18104,0.07188,0.14446,0.66301,1.40215,0.997,1,0.995,0.63781,0.997,1,0.995,0.995,1.25733,0.0659,0.00134,0.51874,1.72458,0.000812,0.000812,0.000812
38,809.877,1.17018,0.07429,0.108,0.59428,1.35279,0.99676,1,0.995,0.73476,0.99676,1,0.995,0.99021,1.14019,0.05831,0.00175,0.50599,1.59578,0.000779,0.000779,0.000779
