epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,759.269,0.45015,0.45357,0.366,0.83801,0,0.99487,0.95714,0.99034,0.91808,0.99487,0.95714,0.99034,0.89528,0.37611,0.39349,0.34767,0.85297,0,0.000739787,0.000739787,0.000739787
29,785.808,0.42346,0.46725,0.3468,0.83781,0,0.98808,0.96429,0.99298,0.91016,0.97151,0.97415,0.99255,0.88879,0.38241,0.43351,0.33376,0.8674,0,0.000726038,0.000726038,0.000726038
30,812.36,0.43474,0.46271,0.3455,0.83614,0,0.99265,0.96533,0.99384,0.92714,0.99265,0.96533,0.99403,0.90804,0.36964,0.35348,0.32211,0.85579,0,0.00071229,0.00071229,0.00071229
31,838.881,0.39233,0.40001,0.32178,0.82704,0,0.97052,0.97857,0.98935,0.91291,0.97761,0.98571,0.99395,0.88494,0.37266,0.36914,0.33545,0.86754,0,0.000698541,0.000698541,0.000698541
32,865.36,0.40838,0.43117,0.32669,0.83223,0,0.96469,0.97568,0.99089,0.92207,0.97175,0.98283,0.99337,0.90663,0.35018,0.32546,0.30692,0.86592,0,0.000684793,0.000684793,0.000684793
33,892.012,0.41839,0.44815,0.33353,0.83539,0,0.98238,0.97857,0.99321,0.92853,0.98955,0.98571,0.99458,0.9249,0.36745,0.33636,0.29936,0.85346,0,0.000671044,0.000671044,0.000671044
34,918.622,0.40553,0.45402,0.32885,0.8266,0,1,0.97844,0.99444,0.92495,1,0.97844,0.99451,0.92175,0.35232,0.35669,0.29295,0.85197,0,0.000657295,0.000657295,0.000657295
35,946.937,0.39102,0.40822,0.32071,0.82709,0,0.98579,0.99117,0.9945,0.93924,0.98579,0.99117,0.9945,0.90974,0.32743,0.3565,0.28784,0.84384,0,0.000643547,0.000643547,0.000643547
36,973.607,0.39716,0.43077,0.32523,0.82917,0,0.9856,0.9781,0.99397,0.92939,0.9856,0.9781,0.99397,0.91071,0.33613,0.35307,0.29487,0.84917,0,0.000629798,0.000629798,0.000629798
37,1000.28,0.39232,0.42611,0.31805,0.82571,0,0.99122,0.97857,0.99424,0.94573,0.99122,0.97857,0.99424,0.91766,0.32849,0.35931,0.27983,0.84943,0,0.000616049,0.000616049,0.000616049
38,1026.84,0.39367,0.40548,0.32378,0.82869,0,0.98559,0.97682,0.99375,0.94006,0.98559,0.97682,0.99401,0.911,0.3325,0.35781,0.28736,0.85238,0,0.000602301,0.000602301,0.000602301
39,1053.44,0.39308,0.42652,0.32188,0.82111,0,0.98487,0.98571,0.99392,0.91908,0.98487,0.98571,0.99392,0.90716,0.34959,0.34473,0.28995,0.85427,0,0.000588552,0.000588552,0.000588552
40,1079.97,0.38236,0.40752,0.31333,0.82437,0,0.99283,0.98961,0.99479,0.93241,0.99283,0.98961,0.99479,0.91137,0.34599,0.35039,0.26662,0.85614,0,0.000574804,0.000574804,0.000574804
41,1106.41,0.37456,0.39102,0.30384,0.82345,0,0.97196,0.99049,0.99264,0.93684,0.97897,0.99763,0.99457,0.90408,0.33504,0.37747,0.2864,0.85147,0,0.000561055,0.000561055,0.000561055
42,1133.03,0.37418,0.39877,0.30747,0.82401,0,0.99721,0.97143,0.99424,0.93563,0.99948,0.97857,0.99465,0.90087,0.3303,0.33916,0.28549,0.85783,0,0.000547306,0.000547306,0.000547306
43,1159.43,0.3709,0.40152,0.30446,0.82418,0,0.97885,0.99192,0.99443,0.93212,0.97885,0.99192,0.99443,0.91714,0.35134,0.32816,0.28159,0.86758,0,0.000533558,0.000533558,0.000533558
44,1185.87,0.38194,0.40845,0.32201,0.82732,0,0.99279,0.98298,0.99451,0.93275,0.98584,0.99478,0.99471,0.90754,0.31875,0.32298,0.28202,0.84568,0,0.000519809,0.000519809,0.000519809
45,1212.36,0.35073,0.3844,0.29565,0.81731,0,0.99122,0.98571,0.99479,0.93968,0.98587,0.99695,0.99479,0.91987,0.32723,0.33058,0.27393,0.84878,0,0.00050606,0.00050606,0.00050606
46,1239.57,0.3785,0.40635,0.30964,0.82615,0,0.98559,0.97735,0.99402,0.95063,0.98559,0.97735,0.99429,0.92369,0.30135,0.31372,0.25995,0.84649,0,0.000492312,0.000492312,0.000492312
47,1266.64,0.3568,0.37607,0.29824,0.82231,0,0.97218,0.99858,0.99436,0.94625,0.97218,0.99858,0.99436,0.92855,0.31193,0.31883,0.26286,0.84806,0,0.000478563,0.000478563,0.000478563
48,1293.54,0.34131,0.37215,0.29056,0.81085,0,0.98721,0.97857,0.99465,0.9544,0.98516,1,0.99472,0.91773,0.29587,0.32346,0.26014,0.83811,0,0.000464815,0.000464815,0.000464815
49,1320.18,0.34889,0.38943,0.29534,0.816,0,0.99274,0.97696,0.99465,0.95718,0.99887,0.99286,0.995,0.92336,0.29182,0.32126,0.25875,0.84028,0,0.000451066,0.000451066,0.000451066
