epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9313,0.40995,0.47728,2.47893,0.86961,0,0.00956,0.9875,0.92655,0.86152,0.00968,1,0.92733,0.9015,0.35707,0.28755,2.81194,0.79724,0,0.000464425,0.000464425,0.000464425
2,22.2604,0.37943,0.30938,1.23806,0.84895,0,1,0.79498,0.92673,0.87182,1,0.79498,0.93263,0.9213,0.36143,0.26712,1.88689,0.8149,0,0.000929116,0.000929116,0.000929116
3,32.1917,0.39503,0.28379,1.05081,0.84653,0,0.97519,0.98264,0.99427,0.92546,0.97519,0.98264,0.99427,0.96365,0.36659,0.34625,0.82073,0.81462,0,0.00138202,0.00138202,0.00138202
4,42.357,0.37745,0.31882,0.88441,0.8454,0,0.84932,0.9864,0.96278,0.91547,0.84932,0.9864,0.96278,0.92839,0.31213,0.61098,1.0359,0.81141,0,0.00137595,0.00137595,0.00137595
5,52.1388,0.37868,0.29446,0.79693,0.84428,0,0.98662,1,0.99352,0.94193,0.98662,1,0.99352,0.98512,0.30155,0.20522,0.54936,0.80347,0,0.00135826,0.00135826,0.00135826
6,62.2716,0.35865,0.26962,0.70367,0.84521,0,1,0.99498,0.995,0.96171,1,0.99498,0.995,0.97894,0.30112,0.19641,0.47067,0.80772,0,0.00134058,0.00134058,0.00134058
7,72.0541,0.35354,0.28902,0.61159,0.83782,0,0.99795,1,0.995,0.95658,0.99795,1,0.995,0.98636,0.29171,0.20072,0.38392,0.80727,0,0.0013229,0.0013229,0.0013229
8,81.8618,0.34001,0.28508,0.5471,0.83452,0,0.9982,1,0.995,0.96347,0.9982,1,0.995,0.98461,0.26967,0.21764,0.33396,0.80556,0,0.00130521,0.00130521,0.00130521
9,91.9066,0.32638,0.2682,0.52225,0.82514,0,0.99922,1,0.995,0.98298,0.99922,1,0.995,0.98224,0.24787,0.21107,0.28622,0.79795,0,0.00128753,0.00128753,0.00128753
10,102.112,0.31291,0.26272,0.474,0.83858,0,0.99925,1,0.995,0.98296,0.99925,1,0.995,0.97915,0.24574,0.20058,0.29352,0.79788,0,0.00126985,0.00126985,0.00126985
11,111.909,0.30707,0.24952,0.43608,0.82791,0,0.99903,1,0.995,0.98346,0.99903,1,0.995,0.98465,0.21942,0.18425,0.27641,0.78953,0,0.00125216,0.00125216,0.00125216
12,121.777,0.30329,0.23729,0.41763,0.83134,0,0.98671,1,0.99488,0.98858,0.98671,1,0.99488,0.98833,0.22008,0.1806,0.27522,0.79353,0,0.00123448,0.00123448,0.00123448
13,131.821,0.29284,0.24655,0.37987,0.82559,0,0.99618,1,0.995,0.98554,0.99618,1,0.995,0.98883,0.22954,0.18103,0.25374,0.79185,0,0.00121679,0.00121679,0.00121679
14,141.583,0.2847,0.22943,0.35733,0.82422,0,0.99929,1,0.995,0.98609,0.99929,1,0.995,0.98024,0.22259,0.18218,0.24087,0.79177,0,0.00119911,0.00119911,0.00119911
15,151.397,0.28322,0.23893,0.34567,0.82288,0,0.99928,1,0.995,0.98608,0.99928,1,0.995,0.98496,0.19758,0.17828,0.24074,0.79028,0,0.00118143,0.00118143,0.00118143
16,161.677,0.27402,0.24335,0.32651,0.82674,0,0.99932,1,0.995,0.98622,0.99932,1,0.995,0.98632,0.20659,0.17885,0.23645,0.79115,0,0.00116374,0.00116374,0.00116374
17,171.496,0.27561,0.23066,0.31863,0.81966,0,0.97249,1,0.99439,0.98638,0.97249,1,0.99439,0.98692,0.19761,0.17518,0.23457,0.78684,0,0.00114606,0.00114606,0.00114606
18,181.417,0.26393,0.22014,0.29757,0.81769,0,0.99878,1,0.995,0.99315,0.99878,1,0.995,0.98841,0.17602,0.16664,0.20958,0.78462,0,0.00112837,0.00112837,0.00112837
19,191.278,0.26048,0.21683,0.29198,0.82029,0,0.99921,1,0.995,0.98614,0.99921,1,0.995,0.98629,0.19505,0.16723,0.20515,0.79358,0,0.00111069,0.00111069,0.00111069
20,201.079,0.25546,0.21773,0.28039,0.81074,0,0.9992,1,0.995,0.99337,0.9992,1,0.995,0.9861,0.19511,0.16678,0.20205,0.78867,0,0.00109301,0.00109301,0.00109301
21,211.036,0.25251,0.21683,0.27657,0.81994,0,0.99921,1,0.995,0.99051,0.99921,1,0.995,0.98807,0.18482,0.17795,0.20855,0.79042,0,0.00107532,0.00107532,0.00107532
22,220.834,0.24301,0.21987,0.26771,0.81224,0,0.99842,1,0.995,0.993,0.99842,1,0.995,0.98772,0.19449,0.16211,0.21082,0.78983,0,0.00105764,0.00105764,0.00105764
23,230.961,0.24166,0.20491,0.26185,0.80579,0,0.99925,1,0.995,0.98879,0.99925,1,0.995,0.98986,0.20014,0.16872,0.22386,0.78793,0,0.00103995,0.00103995,0.00103995
24,240.897,0.2512,0.20447,0.26635,0.81496,0,0.99877,1,0.995,0.99116,0.99877,1,0.995,0.98631,0.18281,0.16373,0.21012,0.7915,0,0.00102227,0.00102227,0.00102227
25,250.514,0.2385,0.21249,0.25332,0.80967,0,0.9992,1,0.995,0.99205,0.9992,1,0.995,0.9848,0.18225,0.16253,0.19447,0.7885,0,0.00100459,0.00100459,0.00100459
26,261.164,0.23386,0.21012,0.2505,0.81737,0,0.99718,1,0.995,0.9917,0.99718,1,0.995,0.98789,0.19587,0.16517,0.21206,0.79081,0,0.000986903,0.000986903,0.000986903
27,271.049,0.24618,0.20674,0.25917,0.80544,0,0.9993,1,0.995,0.99289,0.9993,1,0.995,0.98997,0.171,0.16097,0.20076,0.78517,0,0.000969219,0.000969219,0.000969219
28,280.794,0.22843,0.20021,0.24435,0.80777,0,0.9992,1,0.995,0.99143,0.9992,1,0.995,0.98992,0.17593,0.15937,0.19252,0.78589,0,0.000951535,0.000951535,0.000951535
29,290.466,0.22569,0.21017,0.24054,0.80868,0,0.9993,1,0.995,0.99328,0.9993,1,0.995,0.98718,0.15296,0.15761,0.17983,0.78409,0,0.000933851,0.000933851,0.000933851
30,300.465,0.22941,0.2188,0.24181,0.8163,0,0.99929,1,0.995,0.99424,0.99929,1,0.995,0.98958,0.15194,0.16202,0.17913,0.78207,0,0.000916168,0.000916168,0.000916168
31,310.278,0.21898,0.20949,0.23311,0.81013,0,0.99934,1,0.995,0.9942,0.99934,1,0.995,0.98752,0.16346,0.1585,0.17743,0.78729,0,0.000898484,0.000898484,0.000898484
32,320.282,0.22698,0.2051,0.23586,0.81389,0,0.99929,1,0.995,0.995,0.99929,1,0.995,0.98843,0.1684,0.16151,0.19026,0.78495,0,0.0008808,0.0008808,0.0008808
33,330.55,0.22192,0.20778,0.23429,0.81542,0,0.99933,1,0.995,0.99366,0.99933,1,0.995,0.98685,0.15971,0.16172,0.17942,0.78623,0,0.000863116,0.000863116,0.000863116
34,340.317,0.22625,0.20762,0.23722,0.80892,0,0.99933,1,0.995,0.99056,0.99933,1,0.995,0.99116,0.16766,0.16336,0.17989,0.78188,0,0.000845432,0.000845432,0.000845432
35,350.044,0.22163,0.21077,0.23181,0.80921,0,0.99922,1,0.995,0.99323,0.99922,1,0.995,0.98827,0.16755,0.16266,0.1892,0.78312,0,0.000827748,0.000827748,0.000827748
36,360.08,0.22159,0.20116,0.22835,0.80899,0,0.99931,1,0.995,0.98987,0.99931,1,0.995,0.98803,0.16378,0.16292,0.1851,0.78569,0,0.000810064,0.000810064,0.000810064
37,369.892,0.21277,0.19144,0.22259,0.81342,0,0.99932,1,0.995,0.99303,0.99932,1,0.995,0.98871,0.15271,0.16105,0.17187,0.77707,0,0.00079238,0.00079238,0.00079238
