epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2814,2.66565,1.37635,0.64111,3.69642,2.27521,0.02712,0.6,0.02505,0.01043,0.02486,0.55,0.02393,0.01575,1.85848,1.41021,0.67457,4.26398,1.73869,0.00044,0.00044,0.00044
2,29.8491,1.8893,0.55264,0.4746,1.62255,1.7714,0.80001,0.8,0.92275,0.44575,0.85247,0.85,0.95914,0.84869,1.68322,0.80924,0.49536,1.01757,1.58258,0.00088218,0.00088218,0.00088218
3,40.5622,1.87553,0.41599,0.37776,1.47703,1.71136,0.88923,0.95,0.94813,0.51048,0.93675,1,0.995,0.98922,1.53076,0.28009,0.30304,1.03372,1.56175,0.00130614,0.00130614,0.00130614
4,50.8925,1.78255,0.35382,0.28499,1.42015,1.68671,0.72845,0.85,0.85612,0.42602,0.91346,0.85,0.96916,0.91636,1.65626,0.32882,0.12941,2.04653,1.606,0.00171189,0.00171189,0.00171189
5,61.0946,1.73373,0.33519,0.22827,1.17742,1.61654,0.8399,0.7,0.78475,0.34361,0.89085,0.81677,0.89727,0.82932,1.90694,0.39669,0.14958,1.34566,1.75947,0.0018416,0.0018416,0.0018416
6,71.1279,1.75998,0.34296,0.17028,1.11422,1.61066,0.86387,0.85,0.89195,0.44164,0.86387,0.85,0.89195,0.82537,1.64163,0.6654,0.05794,1.76519,1.5325,0.001802,0.001802,0.001802
