epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.557,1.20683,2.03453,11.3769,1.09104,0,0.36364,0.2,0.31045,0.26066,0.54545,0.3,0.43734,0.28208,0.55485,0.75921,6.7332,0.91936,0,0.0001125,0.0001125,0.0001125
2,47.1319,0.65065,1.05926,4.81281,0.84706,0,0.83098,0.73801,0.84171,0.76191,0.83098,0.73801,0.8473,0.70372,0.45917,0.62618,1.55236,0.83215,0,0.000232798,0.000232798,0.000232798
3,79.0978,0.5617,0.68884,1.99884,0.81489,0,0.89993,0.89931,0.92213,0.84719,0.94991,0.94822,0.98598,0.80003,0.43755,0.63297,3.11583,0.81191,0,0.000348145,0.000348145,0.000348145
4,108.457,0.55698,0.55742,1.44864,0.83349,0,1,0.99576,0.995,0.92259,1,0.99576,0.995,0.83596,0.44493,0.49528,46.0425,0.7989,0,0.000458542,0.000458542,0.000458542
5,136.747,0.59057,0.58986,1.10447,0.81904,0,0.99756,1,0.995,0.84493,0.99756,1,0.995,0.83285,0.61663,0.53643,1.40715,0.82673,0,0.00056399,0.00056399,0.00056399
6,164.032,0.5499,0.5083,0.85129,0.82534,0,0.99647,1,0.995,0.85878,0.99647,1,0.995,0.87704,0.59996,0.48865,0.5764,0.83005,0,0.000664488,0.000664488,0.000664488
7,179.982,0.59183,0.48169,0.75057,0.83755,0,0.99578,1,0.995,0.88432,0.99578,1,0.995,0.87691,0.60082,0.46413,15.0172,0.82481,0,0.000760035,0.000760035,0.000760035
