epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1554,0.37607,0.46313,2.85245,0.87706,0,0.00919,0.975,0.92866,0.89816,0.00931,0.9875,0.92923,0.91472,0.29236,0.28287,2.89308,0.8233,0,0.000464425,0.000464425,0.000464425
2,33.6676,0.37085,0.29563,1.59898,0.8569,0,0.95585,0.85,0.98444,0.91914,0.95585,0.85,0.98444,0.97198,0.35369,0.25162,1.76855,0.83616,0,0.000929116,0.000929116,0.000929116
3,46.9664,0.37663,0.32073,1.33292,0.85,0,0.98747,0.98487,0.99214,0.94144,0.98747,0.98487,0.99214,0.97781,0.3568,0.33079,0.92489,0.85377,0,0.00138202,0.00138202,0.00138202
4,59.4732,0.36032,0.31496,1.10698,0.85262,0,1,0.99523,0.995,0.94974,1,0.99523,0.995,0.96894,0.31816,0.3708,0.8454,0.83418,0,0.00137595,0.00137595,0.00137595
5,72.8405,0.34812,0.28784,0.95619,0.8577,0,0.94661,0.9875,0.98937,0.94654,0.94661,0.9875,0.98937,0.97736,0.30194,0.26064,0.89156,0.83273,0,0.00135826,0.00135826,0.00135826
6,86.5316,0.32621,0.26971,0.8084,0.84829,0,0.99325,1,0.995,0.98541,0.99325,1,0.995,0.97681,0.2534,0.25004,0.59715,0.81513,0,0.00134058,0.00134058,0.00134058
7,100.013,0.3205,0.25993,0.68161,0.83826,0,1,0.99977,0.995,0.96808,1,0.99977,0.995,0.99095,0.26354,0.18697,0.32069,0.81642,0,0.0013229,0.0013229,0.0013229
8,112.817,0.32103,0.24734,0.59674,0.83601,0,0.99924,1,0.995,0.95907,0.99924,1,0.995,0.98642,0.27257,0.18097,0.2759,0.81677,0,0.00130521,0.00130521,0.00130521
9,125.285,0.31418,0.25561,0.54687,0.83092,0,0.99919,1,0.995,0.97274,0.99919,1,0.995,0.98781,0.25734,0.20457,0.28571,0.82072,0,0.00128753,0.00128753,0.00128753
10,143.369,0.29505,0.23617,0.48041,0.83623,0,0.99905,1,0.995,0.98322,0.99905,1,0.995,0.99369,0.22875,0.18752,0.25365,0.81122,0,0.00126985,0.00126985,0.00126985
11,158.582,0.29662,0.23359,0.43886,0.82882,0,0.99854,1,0.995,0.98368,0.99854,1,0.995,0.99318,0.22632,0.17488,0.32797,0.80866,0,0.00125216,0.00125216,0.00125216
12,174.823,0.28049,0.24474,0.40853,0.83627,0,0.99839,1,0.995,0.98923,0.99839,1,0.995,0.98724,0.21103,0.25478,0.25932,0.80655,0,0.00123448,0.00123448,0.00123448
13,188.076,0.26671,0.22877,0.37197,0.81948,0,0.99937,1,0.995,0.99229,0.99937,1,0.995,0.99375,0.19645,0.17524,0.22826,0.80586,0,0.00121679,0.00121679,0.00121679
14,200.671,0.26467,0.22144,0.36059,0.8231,0,0.99917,1,0.995,0.99114,0.99917,1,0.995,0.99276,0.22898,0.18391,0.24118,0.80869,0,0.00119911,0.00119911,0.00119911
15,213.673,0.26977,0.23156,0.3519,0.82133,0,0.99947,1,0.995,0.99157,0.99947,1,0.995,0.99128,0.22071,0.17251,0.2252,0.81026,0,0.00118143,0.00118143,0.00118143
16,229.277,0.25567,0.23116,0.32874,0.81379,0,0.99931,1,0.995,0.99043,0.99931,1,0.995,0.99242,0.17631,0.16907,0.19839,0.80087,0,0.00116374,0.00116374,0.00116374
17,244.213,0.24836,0.21877,0.31164,0.82203,0,0.99929,1,0.995,0.9924,0.99929,1,0.995,0.99347,0.19058,0.16292,0.19656,0.80392,0,0.00114606,0.00114606,0.00114606
18,258.394,0.2495,0.20929,0.29917,0.81935,0,0.99932,1,0.995,0.99435,0.99932,1,0.995,0.99352,0.18945,0.16104,0.20156,0.80235,0,0.00112837,0.00112837,0.00112837
